"","Basal.Sample.1","Basal.Sample.15","Basal.Sample.16","Basal.Sample.17","Basal.Sample.18","Basal.Sample.3","Basal.Sample.4","Basal.Sample.5","Basal.Sample.7","HER2.Sample.19","HER2.Sample.20","HER2.Sample.21","HER2.Sample.28","HER2.Sample.29","HER2.Sample.30","HER2.Sample.37","HER2.Sample.38","HER2.Sample.39","LumA.Sample.10","LumA.Sample.11","LumA.Sample.12","LumA.Sample.13","LumA.Sample.14","LumA.Sample.2","LumA.Sample.6","LumA.Sample.8","LumA.Sample.9","LumB.Sample.22","LumB.Sample.23","LumB.Sample.24","LumB.Sample.31","LumB.Sample.32","LumB.Sample.33","LumB.Sample.40","LumB.Sample.41","LumB.Sample.42","Normal.Sample.25","Normal.Sample.26","Normal.Sample.27","Normal.Sample.34","Normal.Sample.35","Normal.Sample.36","Normal.Sample.43","Normal.Sample.44","Normal.Sample.45"
"O94911",-1.25327697173421,-1.91073125817187,-0.132234341641486,-1.76976044746669,0.738007940977015,0.705390023687561,-1.26872660194142,-1.32648707873521,-1.334275599081,-1.20731575445313,-0.206499561072848,-0.201798823223915,-1.41327126932032,-1.27830238610758,-1.69136707948782,-1.44460644042985,-0.723512193337006,-0.354576368551278,0.13491747446635,0.240123074307161,-0.538751513037369,-0.567413794500769,-0.263959482209587,1.09168282716395,0.815151832254234,-0.794635883477612,0.983986818647624,-1.00603341334388,-1.18234983784302,-1.36921895395198,-0.258303537746798,-1.08179693788426,-0.973747160883509,-0.587275541606396,-0.96218651997506,-0.981571249994414,0.237463846981828,-0.576482794032678,0.899093404076059,0.00749173642311544,0.0299470293012305,0.845151661414686,-0.208488481041161,0.779783842120978,-0.131921447207764
"Q9NRK6",0.341703470711092,0.335610745764483,-0.039934034949558,1.36339739771328,0.0947564517776755,0.0441920020084755,0.327803305994319,0.831079341256574,0.427536978188078,0.235165268479988,0.0826341628737768,0.289863746460585,-0.0137731178219082,-0.617950089962273,-0.154483079249989,0.03243793148134,-0.636021509310805,-0.271054075181499,-0.46041043476174,-0.419866934645267,-0.586415520294332,-0.110737992300543,-0.474005742743023,-0.236376775048704,-0.204835908300043,-0.244811561289153,-0.433090663721708,0.150379891539673,0.21596830601137,0.183933884251449,0.0479767849111128,-0.575247001396948,-0.13715543587819,0.123149025482809,-0.290649340795427,0.265210523827844,0.0212140337086044,-0.322580130341262,-0.226382298743061,-0.12321508679437,-0.553759154776884,0.391118434487794,-0.149271745303194,-0.0153831418354004,-0.084660370441849
"Q9NP58",0.586693637779568,-0.0514811322958556,-0.143690225762799,-0.330425311889083,0.00855447825716411,-0.257938407490593,-0.768851271414379,0.612640865418353,-0.593667549745581,-0.363486520662225,-0.765223992753776,0.163502048142816,-0.514659004325008,-0.0842830735426662,-0.431534247067517,-0.361095583844823,-0.458552482255202,-0.490550726088172,0.769321599454457,-0.517800578192611,0.126439280879489,0.464102961610069,-0.0576840476605778,0.260378994463351,-0.426494828022081,-0.366474193234072,-0.25901278372058,-0.31040210656513,-0.238237656452696,0.238078821966372,0.217932945463797,-0.121415988369707,0.0584744494645247,-0.173164868815798,-0.36734034297314,-0.929762808993494,0.0342248748958084,-0.111663421750354,0.141228482978378,-0.335578791241728,-0.180230717359217,0.299926029422765,-0.281663922869993,-0.0641794563044043,-0.359049478050438
"O75027",0.184039404402395,0.108747577302389,0.38274270205872,0.0420410362555164,0.00929616825183865,0.103467637285294,0.285368054289025,1.20971690694071,-0.224348079507807,-0.480331439219047,-0.0412578346218594,-0.199155175172221,0.236014538246627,-0.261159207964172,0.39057713303356,0.149268799424605,-0.401517414216204,0.0968860465179153,-0.0364116189112162,0.168533402256555,-0.3802440807024,-0.0168910646425847,0.324146905682194,0.0431102577036896,-0.0458520411457471,-0.366549063941114,-0.0473335920792979,0.0696167842160658,-0.0692770118409914,0.0508910243594457,0.349818564459306,-0.115938451427177,0.082622113485534,-0.329776019316817,-0.0505019204174828,0.666416788869289,-0.199539661391431,-0.313370156292633,-0.18660698519274,-0.178127647229541,-0.334968185116451,0.175560605336004,-0.205019275811203,-0.108261335915494,-0.304752999173568
"Q9NUT2",0.139073148170724,-0.0283104019523492,0.373461733112067,0.535835343060455,0.134439695805546,-0.206906748652833,-0.0501558608718324,0.440469554193522,-0.362734533240597,-0.159016517875142,-0.3737668787828,0.311457359916597,0.0715812496710614,-0.328804679127461,0.0445846137472325,-0.1397872006494,0.129587114847681,-0.164528610250929,0.27531142998393,-0.0152496211772563,-0.0133065350292069,0.109649970291384,0.177039182558951,0.00254205741573618,-0.305294213502138,0.140176238465153,0.056478258984693,0.0221545113411413,0.576502995082348,0.108853732658217,-0.116656593279698,-0.446317408802367,0.148645282614906,-0.27312988183017,-0.178129195501308,0.586808041308756,-0.0353458733298453,-0.381856968408182,-0.0817552785344784,-0.115295188098002,-0.221971177781322,0.790261341608149,-0.25416341649915,-0.108106978236394,-0.240863959744367
"P33527",0.543367386189131,0.749694928782986,0.408019960647,0.346247380019965,0.10171066863405,0.0561623994475933,0.158294466128165,0.645452997744615,-0.218700417122951,-0.452438880880199,0.246741499103685,-0.644054736653019,0.0365149214966528,-0.498438214144752,-0.0236277381265782,0.361599132703934,-0.396126298498233,-0.0440012657218063,-0.733039765697808,-0.343131808521624,-0.729530857695544,-0.280285862842458,-0.437440146128026,-0.544173205757742,-0.116696795591692,-0.620393610939264,0.157672938109991,0.0429294089772709,-0.446781246667892,-0.223654620818045,0.203256793560976,-0.248692714632316,-0.389867714416557,0.0883712688751442,-0.0548485890757988,0.221848078845836,0.0543614181261514,-0.200125382093476,-0.172311061147353,-0.0161674239022615,-0.29713426359953,0.317612852368621,-0.152744743223849,-0.113656864337529,-0.0422013423737826
"A0A024RD21",0.239295787097705,-0.00845772960964197,0.126806874072818,0.270141806947555,0.136289021059619,-0.0990558365332822,0.53987590062542,-0.0280714035992876,0.812666135231601,0.506862409189717,-0.175920169009774,0.555214146284639,-0.227693018363299,-0.234322734925264,-0.20391301813143,-0.274353981697486,-0.174553284814606,0.127068893181081,-0.103655915529543,0.199319775612988,-0.0923312099070837,0.230296317290434,0.0343927239091061,-0.163281496182879,-0.698707000090606,-0.188048527487293,0.411686210331342,-0.0867930820788904,-0.429059232491383,0.213680878564949,0.046390010021732,-0.0862720637462071,-0.167550410716927,-0.22306037202188,-0.138597252696218,0.594012394982824,-0.0509024747267582,0.00263042707952828,0.0531154738336019,0.277668259949695,-0.267152866229001,-0.101998467099711,1.14931539836565,0.186701320317539,-0.0508167792362757
"A0A024R6Q6",-2.31471081305874,-0.354065202494325,-0.586423822576696,-1.15936832854201,-0.755590914942109,-2.28982879771928,-1.93383308737683,-1.93897805112185,-1.886245014441,0.674523606752311,0.391637362242906,2.60913050696514,2.41712725973137,-0.446932475546208,-0.124408445528575,-0.242071656509383,0.636837169071364,0.425194551420316,1.25272267918962,-0.96460668621638,2.14986404392287,0.525573931150132,-0.0459552089447452,1.11158158519994,-0.318077714071627,0.571673119469554,-0.692435036664902,-0.541396439446821,2.29998548024641,-0.489981026586014,-0.691220257760565,-0.536049814955327,-0.763947809810411,1.53654598287124,-0.425753368659049,-0.328672310453649,0.349756165926419,-0.503852331362843,1.52599329718384,0.505713464477668,-0.343054487071681,1.64765560284971,-0.669945994200364,0.925766591720748,-0.394119006644368
"O15438",0.0141706013584948,-0.283608783661296,-0.365010142570167,-0.317055046162261,-0.173438081315436,-0.372381251530943,-1.01144344660528,-0.865838328420699,-0.5407922868399,0.465529789797701,-0.0234868438404161,0.242082734427894,0.389795027185931,-0.458139179178441,1.93676642872784,-0.201667590970325,-0.112530561887256,-0.392864611411591,-1.39410676933661,0.916222617541303,-0.463806747845019,0.209554378034903,-0.472389878387223,0.431706636893465,0.299827364591145,0.359867137694083,0.990867805352647,0.300808810541911,-0.431317070458105,-0.266832954052594,-0.177665814452533,-0.00916028928986532,-0.3028720207335,-0.323369386840171,-0.278669579242921,0.203760778609715,0.25865819809047,0.0667889399123962,-0.0843206873232099,0.251942736615408,-0.55841696504562,-0.320770324613021,-0.43343214936475,1.31591139586987,-0.372893008930688
"A8K2Q2",0.180340147378411,-0.274330719436176,0.345934485670696,0.880579855252943,0.0612054380227621,-0.175923766577867,0.245191619749944,-0.490959506930454,0.0394904851186744,0.495994535853697,0.945111116981125,-0.0561792414917582,0.423850751456335,-0.0251911758024053,-0.301907116485597,1.47528030763752,0.120169369031416,0.192721715882758,-0.0375330206753223,0.0122278510373124,-0.0286435565370992,-0.153979630349867,0.124377289166268,0.126034512857754,0.00768878751291552,-0.443096804331826,0.435560001765282,0.399836246689124,-0.695671765929895,0.0134499462435352,-0.256346527254379,0.177137480457452,-0.678613441047038,-0.0819768370379262,0.0958425459119812,0.0113396630565131,0.710217334162898,-0.519824587170197,-0.0813590231819293,0.444253074964055,0.339627438443377,-0.126641425723656,0.253443299834581,-0.150496470525608,0.187582918649647
